(PDH-CSV 4.0) (Pacific Daylight Time)(420),\\DESKTOP-69VA935\Process(RansomDetectorService)\% Processor Time,\\DESKTOP-69VA935\Process(RansomDetectorService)\Working Set
50:17.1,34.06056877,25280512
50:22.1,15.0001236,25280512
50:27.1,3.124925189,25280512
50:32.2,7.500325214,25280512
50:37.1,18.74964038,25288704
50:42.1,5.0000357,25288704
50:47.1,33.75185163,25288704
50:52.1,75.3088671,25305088
50:57.1,42.81202307,25337856
51:02.1,24.68659795,25337856
51:07.1,1.250059503,25337856
51:12.1,0.937561504,25337856
51:17.1,5.624468713,25337856
51:22.1,4.0625273,25337856
51:27.1,46.87787924,25628672
51:32.1,5.937300744,25628672
51:37.1,3.437643762,25628672
51:42.1,3.437206944,25628672
51:47.1,2.187507963,25628672
51:52.1,32.50244873,25628672
51:57.1,22.18774362,25628672
52:02.1,3.437421902,25628672
52:07.1,50.000093,25649152
52:12.1,40.93598373,25661440
52:17.1,15.93801034,25661440
52:22.1,16.87467499,25661440
52:27.1,3.124904065,25661440
52:32.1,48.12680379,25694208
52:37.1,4.999919301,25694208
52:42.1,3.437518631,25694208
52:47.1,2.187447064,25694208
52:52.1,3.437702618,25694208
52:57.1,42.18589694,25694208
53:02.1,52.18842478,25759744
53:07.1,28.12444539,25776128
53:12.1,17.49968956,25776128
53:17.1,0.937495688,25776128
53:22.1,1.250035551,25776128
53:27.1,34.68743618,26136576
53:32.1,54.37802668,26148864
53:37.1,47.80986854,26148864
53:42.1,7.812508906,26148864
53:47.1,4.375108853,26148864
53:52.1,21.87564839,26148864
53:57.1,44.996322,26148864
54:02.1,14.68874502,26148864
54:07.2,4.999791509,26148864
54:12.1,6.562720639,26148864
54:17.1,4.062508369,26148864
54:22.1,33.43603015,26292224
54:27.1,38.43782749,26308608
54:32.1,35.62299799,26308608
54:37.1,21.25127508,26308608
54:42.1,15.31289385,26308608
54:47.1,19.37369499,26308608
54:52.1,35.00141756,26308608
54:57.1,5.937102689,26308608
55:02.1,5.937980739,26308608
55:07.1,11.87401636,26308608
55:12.1,36.56471217,26308608
55:17.2,31.24910065,26378240
55:22.1,49.68749404,26378240
55:27.1,39.69012907,26443776
55:32.1,43.74902702,27045888
55:37.1,9.999739007,27045888
55:42.1,9.374874752,27045888
55:47.1,17.50098005,27041792
55:52.2,24.999805,27041792
55:57.1,32.50011895,27045888
56:02.1,39.9996976,27041792
56:07.1,26.56055577,27041792
56:12.1,39.37785017,27045888
56:17.1,7.187581507,27045888
56:22.1,9.687214615,27045888
56:27.1,5.625235585,27045888
56:32.1,5.937288989,27045888
56:37.1,5.624767247,27045888
56:42.1,9.062616364,27045888
56:47.1,34.06234195,27045888
56:52.1,50.93853711,27041792
56:57.1,15.31298052,27041792
57:02.1,27.49853653,27041792
57:07.1,20.62607957,27045888
57:12.1,39.68591891,27045888
57:17.1,4.374848718,27045888
57:22.1,4.687668569,27045888
57:27.1,5.312474181,27045888
57:32.1,4.37514823,27045888
57:37.1,49.06145499,27115520
57:42.1,81.55822146,27217920
57:47.1,19.37619977,27217920
57:52.1,10.31233108,27217920
57:57.1,2.187520606,27217920
58:02.1,10.31243916,27217920
58:07.1,68.75191268,27418624
58:12.1,32.50012675,27418624
58:17.1,52.18759289,27488256
58:22.1,39.05976191,27488256
58:27.1,15.62646326,27488256
58:32.1,8.749899376,27488256
58:37.1,1.25001735,27488256
58:42.1,0.937471463,27488256
58:47.1,1.249885261,27488256
58:52.1,60.94038492,27488256
58:57.1,12.50032626,27488256
59:02.1,48.43654677,28082176
59:07.1,63.75333175,28086272
59:12.1,53.74640974,28086272
59:17.1,46.56166189,28119040
59:22.1,6.875335516,28119040
59:27.2,4.062424845,28119040
59:32.1,3.437373642,28119040
59:37.1,3.437551701,28119040
59:42.1,3.437523994,28119040
59:47.1,34.37657307,28119040
59:52.1,3.749922527,28119040
59:57.1,6.875135165,28119040
00:02.2,38.74897548,28114944
00:07.1,43.43989006,28114944
00:12.1,29.37468804,28114944
00:17.1,1.874913079,28114944
00:22.1,2.500142758,28114944
00:27.1,1.249933029,28114944
00:32.1,16.56239533,28114944
00:37.2,29.9998398,28114944
00:42.1,4.062497806,28114944
00:47.1,3.124828197,28114944
00:52.1,3.437697118,28114944
00:57.1,3.125081252,28114944
01:02.1,5.937633716,28114944
01:07.1,10.93703868,28114944
01:12.2,33.75059604,28119040
01:17.1,28.43646378,28119040
01:22.1,55.62879945,28123136
01:27.1,55.6213924,28123136
01:32.1,38.44023925,28123136
01:37.1,30.62309279,28123136
01:42.1,49.06205354,28147712
01:47.2,51.87577917,28282880
01:52.1,18.43860484,28282880
01:57.1,2.18743897,28282880
02:02.1,16.25015113,28282880
02:07.1,46.25020998,28286976
02:12.1,4.06223108,28286976
02:17.1,2.812675623,28286976
02:22.1,5.62488424,28286976
02:27.1,8.437218028,28286976
02:32.1,24.37572786,28286976
02:37.1,30.62368012,28422144
02:42.1,30.31292802,28422144
02:47.1,22.18716719,28491776
02:52.1,2.500095154,28491776
02:57.1,2.187555433,28491776
03:02.1,0.937462183,28491776
03:07.1,39.37629942,28491776
03:12.1,5.312483213,28491776
03:17.1,4.687501969,28491776
03:22.1,4.999925401,28491776
03:27.1,3.437430289,28491776
03:32.1,15.31251654,25923584
03:37.1,16.56257453,24854528
03:42.1,34.06302116,24854528
03:47.1,17.81230193,24854528
03:52.1,36.8752714,24866816
03:57.1,22.49925752,24866816
04:02.1,39.68757223,24944640
04:07.1,48.75168291,24948736
04:12.1,17.1879878,24948736
04:17.1,56.25066263,25038848
04:22.1,67.18938937,25038848
04:27.1,4.687378972,25038848
04:32.1,7.187348059,25038848
04:37.1,43.74826757,25153536
04:42.1,40.93710045,25153536
04:47.1,73.43578307,25186304
04:52.1,20.31456477,25186304
04:57.1,35.62498076,25378816
05:02.1,55.93391016,25387008
05:07.1,51.87669637,25387008
05:12.1,42.18564636,25387008
05:17.1,23.12459809,25387008
05:22.2,29.3770041,25391104
05:27.1,62.18856094,25399296
05:32.1,53.4382973,25714688
05:37.1,54.68581458,25714688
05:42.1,34.68637824,25714688
05:47.1,17.8121947,25714688
05:52.1,3.437452563,25714688
05:57.2,13.43827727,25714688
06:02.1,40.62408596,25784320
06:07.1,12.81297434,25784320
06:12.1,9.687655778,25784320
06:17.1,46.87127092,25817088
06:22.1,47.81498255,25833472
06:27.1,29.99889064,25833472
06:32.2,33.43708137,25899008
06:37.1,12.50069029,25899008
06:42.1,2.187486613,25899008
06:47.1,4.687286916,25899008
06:52.1,11.87526862,26091520
06:57.1,31.87483553,26091520
07:02.1,9.374687448,26091520
07:07.2,33.12578044,26124288
07:12.1,64.69239074,26128384
07:17.1,21.56174016,26128384
07:22.1,38.12255711,26128384
07:27.1,42.19180356,26128384
07:32.1,16.87311494,26128384
07:37.1,8.125337852,26128384
07:42.1,10.93801474,26128384
07:47.1,35.62428466,26132480
07:52.1,45.31004873,26136576
07:57.1,34.68791695,26136576
08:02.1,12.49985525,26136576
08:07.1,6.875490085,26136576
08:12.1,0.937510388,26136576
08:17.1,5.937381015,26136576
08:22.1,36.25013123,26136576
08:27.1,13.43673034,26136576
08:32.1,8.437430138,26136576
08:37.1,18.4387542,26136576
08:42.1,36.87423818,26144768
08:47.1,74.6826994,26243072
08:52.1,59.68866632,26771456
08:57.1,55.94073226,26771456
09:02.1,6.25000425,26771456
09:07.1,4.9999616,26771456
09:12.1,4.374751602,26771456
09:17.1,33.75134533,26771456
09:22.1,18.43818111,26787840
09:27.1,54.06022947,26791936
09:32.1,17.49975815,26791936
09:37.1,2.812546632,26791936
09:42.1,3.437405953,26791936
09:47.1,47.81561853,26791936
09:52.1,15.31121294,26791936
09:57.1,5.0000202,26791936
10:02.1,4.687751357,26791936
10:07.1,6.874579826,26791936
10:12.1,6.562713682,26791936
10:17.1,8.125263746,26791936
10:22.1,48.43600042,26791936
10:27.1,48.12728412,26791936
10:32.1,41.87575795,26800128
10:37.1,5.937189841,26800128
10:42.2,2.187477688,26800128
10:47.1,29.06131139,26800128
10:52.1,36.87780124,26800128
10:57.1,7.187264258,26828800
11:02.1,7.812880018,26828800
11:07.1,4.687117063,26828800
11:12.1,4.062886218,26828800
11:17.2,6.249632147,26828800
11:22.1,41.25057833,26828800
11:27.1,20.62503341,26828800
11:32.1,45.93552661,26890240
11:37.1,4.687743856,26890240
11:42.1,35.93603022,27025408
11:47.1,19.68831903,27025408
11:52.2,4.062340837,27025408
11:57.1,3.437469957,27025408
12:02.1,3.437724277,27025408
12:07.1,4.687489125,27025408
12:12.1,16.87434831,27025408
12:17.1,40.93910481,27095040
12:22.1,47.80883402,27095040
12:27.2,32.81335315,27156480
12:32.1,19.68845804,27156480
12:37.1,46.87222516,28053504
12:42.1,22.50068222,28053504
12:47.1,2.187575428,28053504
12:52.1,1.249929804,28053504
12:57.1,2.187497331,28053504
13:02.2,2.187433021,28053504
13:07.1,2.187621982,28053504
13:12.1,0.937520307,28053504
13:17.1,1.874870934,28053504
13:22.1,2.5000109,28053504
13:27.1,11.87510854,28053504
13:32.1,73.43516917,28053504
13:37.1,39.69136594,28053504
13:42.1,0.937429168,28053504
13:47.1,1.562514906,28053504
13:52.1,2.500180813,28053504
13:57.1,1.87481788,28053504
14:02.1,1.250023375,28053504
14:07.1,2.500096654,28053504
14:12.1,6.562406945,28053504
14:17.1,30.93728777,28069888
14:22.1,17.18741166,28069888
14:27.1,1.875079391,28069888
14:32.1,2.499936552,28069888
14:37.1,2.187417097,28069888
